cdc-center |127.0.0.1 |2025-04-25 13:37:43.847 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.blob.BlobServer : 213 | Started BLOB server at 0.0.0.0:59990 - max concurrent requests: 50 - max backlog: 1000
cdc-center |127.0.0.1 |2025-04-25 13:37:43.854 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.blob.AbstractBlobCache : 90 | Created BLOB cache storage directory /var/folders/pc/s9vgbj397r9f9mbm71rc39y40000gn/T/blobStore-70b303d2-0995-4a9b-af93-ad26087622d2
cdc-center |127.0.0.1 |2025-04-25 13:37:43.856 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.blob.AbstractBlobCache : 90 | Created BLOB cache storage directory /var/folders/pc/s9vgbj397r9f9mbm71rc39y40000gn/T/blobStore-a53113ad-aa6e-4031-b944-719e24dd2870
cdc-center |127.0.0.1 |2025-04-25 13:37:43.856 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.minicluster.MiniCluster : 606 | Starting 1 TaskManger(s)
cdc-center |127.0.0.1 |2025-04-25 13:37:43.859 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.taskexecutor.TaskManagerRunner : 474 | Starting TaskManager with ResourceID: 25363811-4fd8-4fd7-8eaa-fffcce594526
cdc-center |127.0.0.1 |2025-04-25 13:37:43.876 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.taskexecutor.TaskManagerServices : 441 | Temporary file directory '/var/folders/pc/s9vgbj397r9f9mbm71rc39y40000gn/T': total 926 GB, usable 261 GB (28.19% usable)
cdc-center |127.0.0.1 |2025-04-25 13:37:43.879 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.io.disk.FileChannelManagerImpl : 98 | FileChannelManager uses directory /var/folders/pc/s9vgbj397r9f9mbm71rc39y40000gn/T/flink-io-06431052-882b-4a8b-a68c-3e5adaff4bc8 for spill files.
cdc-center |127.0.0.1 |2025-04-25 13:37:43.884 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.io.disk.FileChannelManagerImpl : 98 | FileChannelManager uses directory /var/folders/pc/s9vgbj397r9f9mbm71rc39y40000gn/T/flink-netty-shuffle-9d4b3b89-65ac-471a-ba15-c8a454990775 for spill files.
cdc-center |127.0.0.1 |2025-04-25 13:37:43.912 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.io.network.buffer.NetworkBufferPool : 145 | Allocated 64 MB for network buffer pool (number of memory segments: 2048, bytes per segment: 32768).
cdc-center |127.0.0.1 |2025-04-25 13:37:43.918 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.io.network.NettyShuffleEnvironment : 328 | Starting the network environment and its components.
